Title,Autor,Year
CHAPTER 1 - A Contemporary Perspective on Social Development,Robert B. Cairns,1986
CHAPTER 1 - Thinking Computers and The Problem of Intentionality,Eric Dietrich,1994
CHAPTER 1 - History of Research on Thinking and Problem Solving,Roger L. Dominowski and Lyle E. Bourne,1994
Chapter 8 - Interference and Inhibition in Memory Retrieval,Michael C. Anderson and James H. Neely,1996
Computational thinking,"Wing, Jeannette M.",2006
Computational thinking,"Henderson, Peter B. and Cortina, Thomas J. and Wing, Jeannette M.",2007
Abstracts,Sloan Evans Despeaux and Laura Martini and Kim Plofker,2007
Broadening the Audience for Computational Thinking:Graduate Student Consortium,"Pane, John F. and Rosson, Mary Beth",2007
Computational thinking and thinking about computing,"Wing, Jeannette",2008
A space–time-ensemble parallel nudged elastic band algorithm for molecular kinetics simulation,Aiichiro Nakano,2008
An Innovative Approach to Teaching an Undergraduate Software Engineering Course,"Lester, Cynthia Y.",2008
An embodied interface for teaching computational thinking,"Good, Judith and Romero, Pablo and du Boulay, Benedict and Reid, Henry and Howland, Katherine and Robertson, Judy",2008
A multidisciplinary approach towards computational thinking for science majors,"Hambrusch, Susanne and Hoffmann, Christoph and Korb, John T. and Haugan, Mark and Hosking, Antony L.",2009
AgentCubes: Incremental 3D end-user development,Andri Ioannidou and Alexander Repenning and David C. Webb,2009
Computational thinking,"Wing, Jeannette",2009
A new way of thinking about computational thinking,"Astrachan, Owen",2009
Computational thinking: special sauce or snake oil?,"Xu, Yan and Peters, Joseph and Kirkpatrick, Arthur and O'Neil, Kevin",2009
Computational thinking (CT): on weaving it in,"Curzon, Paul and Peckham, Joan and Taylor, Harriet and Settle, Amber and Roberts, Eric",2009
Aligning Computing Education with engineering workforce computational needs: New curricular directions to improve computational thinking in engineering graduates,"Vergara, Claudia E. and Urban-Lurain, Mark and Dresen, Cindee and Coxen, Tammy and MacFarlane, Taryn and Frazier, Kysha and Briedis, Daina and Buch, Neeraj and Esfahanian, Abdol-Hossein and Paquette, Louise and Sticklen, Jon and LaPrad, Jeannine and Wolff, Thomas F.",2009
Computational thinking and interdisciplinary encounters: keynote address,"Dourish, Paul",2010
Computational thinking for the sciences: a three day workshop for high school science teachers,"Ahamed, Sheikh Iqbal and Brylow, Dennis and Ge, Rong and Madiraju, Praveen and Merrill, Stephen J. and Struble, Craig A. and Early, James P.",2010
A framework for computational thinking across the curriculum,"Perkovi\'{c}, Ljubomir and Settle, Amber and Hwang, Sungsoon and Jones, Joshua",2010
Computational science: A kaleidoscopic view into science,Peter M.A. Sloot,2010
BingBee @ RaglanRoad - A field trial with unattended educational kiosks,"Wentworth, Peter",2010
A computational introduction to STEM studies,"Freudenthal, Eric and Ogrey, Alexandria N. and Roy, Mary K. and Siegel, Alan",2010
Assessing and refining an undergraduate computational science curriculum,J. Russell Manson and Robert J. Olsen,2010
Can computational thinking reduce marginalization in the future Internet?,"Wentworth, Peter",2010
Bringing computational thinking to K-12: what is Involved and what is the role of the computer science education community?,"Barr, Valerie and Stephenson, Chris",2011
A novel interdisciplinary course in gerontechnology for disseminating computational thinking,"Yang, Hen-I and Martin, Peter and Satterfield, Debra and Babbitt, Ryan and Wong, Johnny and Shelley, Mack and Chang, Carl K.",2011
Computational thinking and computer fundamental education,Lina Wang,2011
Collaborative teaching of globally distributed software development: community building workshop (CTGDSD 2011),"Faulk, Stuart and Young, Michal and Weiss, David and Yu, Lian",2011
Computational Thinking and Expository Writing in the Middle School,"Wolz, Ursula and Stone, Meredith and Pearson, Kim and Pulimood, Sarah Monisha and Switzer, Mary",2011
Algorithmic composition: computational thinking in music,"Edwards, Michael",2011
A study of the Classified teaching of “Fundamentals of Information Technology” course based on computational thinking,"Chun-Hong, Wang and Qiao-Ling, Wang",2011
Computational thinking for youth in practice,"Lee, Irene and Martin, Fred and Denner, Jill and Coulter, Bob and Allan, Walter and Erickson, Jeri and Malyn-Smith, Joyce and Werner, Linda",2011
A model for piloting pathways for computational thinking in a general education curriculum,"Dierbach, Charles and Hochheiser, Harry and Collins, Samuel and Jerome, Gerald and Ariza, Christopher and Kelleher, Tina and Kleinsasser, William and Dehlinger, Josh and Kaza, Siddharth",2011
Computational thinking: what it might mean and what we might do about it,"Hu, Chenglie",2011
Computational thinking,"Wing, Jeannette M.",2011
Computational thinking: modeling applied to the teaching and learning of English,"Howell, Linda and Jamba, Lisa and Kimball, A. Samuel and Sanchez-Ruiz, Arturo",2011
Changing perceptions of computer science and computational thinking among high school teachers,"Morreale, Patricia and Joiner, David",2011
A Serious Game for Developing Computational Thinking and Learning Introductory Computer Programming,Cagin Kazimoglu and Mary Kiernan and Liz Bacon and Lachlan Mackinnon,2012
Computational thinking and creative practice,"Blackwell, Alan",2012
Computation and Computational Thinking,"Aho, Alfred V.",2012
A Unified Approach to Teach Computational Thinking for First Year Non–CS Majors in an Introductory Course,Tun Li and Ting Wang,2012
Blocks languages for creating tangible artifacts,"Turbak, Franklyn and Sandu, Smaranda and Kotsopoulos, Olivia and Erdman, Emily and Davis, Erin and Chadha, Karishma",2012
Chapter 6 - Biocompatibility of SiC for Neurological Applications,Christopher L. Frewin and Chris Locke and Stephen E. Saddow and Edwin J. Weeber,2012
Abenteuer informatik: hands-on exhibits for learning about computational thinking,"Gallenbacher, Jens",2012
Algo.Rhythm: computational thinking through tangible music device,"Peng, Huaishu",2012
Computational thinking and practice: a generic approach to computing in Danish high schools,"Caspersen, Michael E. and Nowack, Palle",2013
Challenges in the implementation of a competency-based curriculum in Spain,Beatriz Crujeiras and María Pilar Jiménez-Aleixandre,2013
A meta-model for dataflow-based rules in smart environments: Evaluating user comprehension and performance,Alejandro Catala and Patricia Pons and Javier Jaen and Jose A. Mocholi and Elena Navarro,2013
Chapter 11 - Application Case Study: Advanced MRI Reconstruction,David B. Kirk and Wen-mei W. Hwu,2013
Beyond computer science: computational thinking across disciplines,"Settle, Amber and Goldberg, Debra S. and Barr, Valerie",2013
3rd International workshop on collaborative teaching of globally distributed software development (CTGDSD 2013),"Faulk, Stuart and Young, Michal and Prikladnicki, Rafael and Weiss, David M. and Yu, Lian",2013
Computational Thinking: Possibilities and Challenges,"Ribeiro, Leila and Nunes, Daltro José and Cruz, Marcia Kniphoff da and Matos, Ecivaldo de Souza",2013
A longitudinal study of the effects of a high school robotics and computational thinking class on academic achievement (WIP),"Ko, Pat",2013
A pragmatic approach to develop computational thinking skills in novices in Computing Education,"Philip, Mintu and Renumol, V. G. and Gopeekrishnan, R",2013
Chapter 13 - Parallel Programming and Computational Thinking,David B. Kirk and Wen-mei W. Hwu,2013
A media-reduced approach towards informatics at primary level,"Antonitsch, Peter K. and Gigacher, Cornelia and Hanisch, Liselotte and Sabitzer, Barbara",2013
Chapter 1 - Introduction,David B. Kirk and Wen-mei W. Hwu,2013
Acknowledgements,David B. Kirk and Wen-mei W. Hwu,2013
A visual robot-programming environment for multidisciplinary education,"Cross, Jennifer and Bartley, Christopher and Hamner, Emily and Nourbakhsh, Illah",2013
Alternate realities for computational thinking,"Doore, Karen",2013
An informatics perspective on computational thinking,"Walden, James and Doyle, Maureen and Garns, Rudy and Hart, Zachary",2013
Chapter 21 - Conclusion and Future Outlook,David B. Kirk and Wen-mei W. Hwu,2013
Chapter 5 - CUDA Memories,David B. Kirk and Wen-mei W. Hwu,2013
Can utilizing social media and visual programming increase retention of minorities in programming classes?,"Taylor, Khallai",2013
Automatic detection of bad programming habits in scratch: A preliminary study,"Moreno, Jesús and Robles, Gregorio",2014
"""AliCe-ViLlagE"" Alice as a Collaborative Virtual Learning Environment","Al-Jarrah, Ahmad and Pontelli, Enrico",2014
CABECT: collaborating across boundaries to engage undergraduates in computational thinking (abstract only),"Pulimood, Sarah Monisha and Pearson, Kim and Bates, Diane C.",2014
Code generation,Niall Firth,2014
1 - The influences of personality traits on academic performance through imaginative capability: the differences between engineering and science,C. Liang and H.-T. Yeh,2014
