0,1,2,3
A Computational Thinking Obstacle Course Based on Bebras Tasks for K-12 Schools,"Lehtim\""{a}ki, Taina and Monahan, Rosemary and Mooney, Aidan and Casey, Kevin and Naughton, Thomas J.",2023,"This paper describes an unplugged computational thinking (CT) resource for primary and secondary schools developed from Bebras tasks. In Ireland, CT is not part of the primary school curriculum or mandatory in secondary schools. However, the National Council for Curriculum and Assessment is in the process of revising the primary school curriculum to include aspects of CT. Our aim for creating this CT Obstacle Course is to introduce teachers (and pupils) without formal computer science training to the subject of CT. This is done in a manner that informs and motivates, and gives them the confidence to deliver CT materials in the classroom. We also want to find out from teachers how useful and important this type of resource is for developing problem-solving skills, and if our unplugged activity can support learning at various skill levels. Our CT Obstacle Course includes 14 Bebras tasks for primary schools and an additional 6 Bebras tasks for secondary schools. The activity is suitable for indoors and outdoors and is completed in groups, promoting teamwork and communication. We have delivered it to 146 primary school classes during 38 school visits between May 2021 and June 2022. It has been undertaken by 3,445 pupils and 195 teachers and other school staff. This paper describes our CT resource in detail, and reports teacher feedback from primary schools."
A Computational Thinking Test for Senior High School Students,"Hu, Chiu-Fan and Wu, Cheng-Chih",2023,"We have developed a quantitative tool for assessing senior high school students' computational thinking skills and administered it in the Taipei metropolitan area of Taiwan. Our CT test is language/tool/knowledge-independent and focuses on four key CT concepts: decomposition, data representation, algorithms, and pattern generalization. Our paper outlines the development process of the CT test, including its constructs, reliability, and validity, and discusses its educational implications for computing courses. This CT test provides a valuable resource for computing teachers who wish to assess their students' CT abilities and tailor their teaching methods accordingly."
An empirical study on the design-based STEM + VR teaching approach to cultivate college students' computational thinking,"Li, Xing and Zhao, MingYue and Ai, Di and Zhou, XiaoChun and Xiang, Hui",2024,"Virtual reality (VR) technology has been widely used in many industries. Therefore, the cultivation of virtual reality technology talents is imminent. However, there are relatively few universities that carry out virtual reality courses. At the same time, the virtual reality course is a good carrier to cultivate computational thinking. It can improve students ' problem-solving ability, creativity and teamwork ability, which are also necessary to cultivate computational thinking. Computational thinking, as a necessary basic skill for talents in the 21 st century, needs to be improved in the training approach of college teaching. However, there are relatively few teaching approachs to cultivate computational thinking through virtual reality (VR) courses. Based on this, this study constructs a design-based STEM+VR teaching approach, which combines the interdisciplinary knowledge of STEM education with VR subject knowledge, aiming to cultivate college students ' computational thinking through virtual reality courses. In this study, a single group of pre-test and post-test experiments were conducted to investigate the complex ability of computational thinking of a college student in Wuhan, including five sub-dimensions:creativity,algorithmic hinking, collaborative ability, critical thinking and dimensional problem solving.The research shows that after the design-based STEM + VR teaching, the abilities in the sub-dimension of computational thinking are significantly improved. The design-based STEM + VR teaching case provided in this study is expected to provide some reference for the use of virtual reality courses to cultivate computational thinking in college education."
An Intelligent Pedagogical Agent for In-The-Wild Interaction in an Open-Ended Learning Environment for Computational Thinking,"Murali, Rohit and Lall\'{e}, S\'{e}bastien and Conati, Cristina",2024,"Adaptive support can help learners in Open-Ended Learning Environments (OELEs), where the free-form nature of the interaction can be confusing to students. In this paper, we design and evaluate an Intelligent Pedagogical Agent (IPA) for an OELE designed to foster Computational Thinking (CT). Specifically, we design help interventions for an in-the-wild scenario where students interact with the OELE in an unmonitored, self-directed manner. We build a student model by extracting meaningful student behaviors on real-world interaction data obtained during interaction in online classrooms and including expert insights. We show that these student models perform better than a baseline and have the potential for adaptive support in self-directed interaction with the OELE. We design an IPA with the help of teachers, leveraging the student behaviors extracted from data. Lastly, we get insights into the value of these help interventions by empirically evaluating the IPA in a formal user study."
Analyzing Computational Thinking Gameplay: Identifying Struggles and the Role of Experience,"Veng, Sotheara and Zhang, Yifan and Bergwall, Ekaterina and Rutherford, Teomara",2025,"Computational thinking (CT) skills are essential for navigating daily life, but how best to teach these skills is still being explored. Educational programming games can provide engaging environments to develop CT, yet uncovering student struggles during gameplay remains challenging. This study analyzed 15 undergraduates with varying programming experience playing the CT game, Fox and Field, utilizing gameplay videos, heart rate data, and surveys. Results revealed common struggle points in understanding the character's perspective, degree angles, and debugging, with notable differences between novice and experienced players. Findings suggest support targeting abstraction, pattern recognition, and debugging skills to improve future game design and scaffolding."
Analyzing-Evaluating-Creating: Assessing Computational Thinking and Problem Solving in Visual Programming Domains,"Ghosh, Ahana and Malva, Liina and Singla, Adish",2024,"Computational thinking (CT) and problem-solving skills are increasingly integrated into K-8 school curricula worldwide. Consequently, there is a growing need to develop reliable assessments for measuring students' proficiency in these skills. Recent works have proposed tests for assessing these skills across various CT concepts and practices, in particular, based on multi-choice items enabling psychometric validation and usage in large-scale studies. Despite their practical relevance, these tests are limited in how they measure students' computational creativity, a crucial ability when applying CT and problem solving in real-world settings. In our work, we have developed ACE, a novel test focusing on the three higher cognitive levels in Bloom's Taxonomy, i.e., Analyze, Evaluate, and Create. ACE comprises a diverse set of 7x3 multi-choice items spanning these three levels, grounded in elementary block-based visual programming. We evaluate the psychometric properties of ACE through a study conducted with 371 students in grades 3-7 from 10 schools. Based on several psychometric analysis frameworks, our results confirm the reliability and validity of ACE. Our study also shows a positive correlation between students' performance on ACE and performance on Hour of Code: Maze Challenge by Code.org."
Appalachian Ingenuity and the Need for Rurally Sustaining Computational Thinking Pathways,"Dunbar, Kyle M. and Coenraad, Merijke and Iwatani, Emi",2024,"Our research-practice partnership with two school districts in Eastern Kentucky has created a rurally sustaining computational thinking (CT) pathway. In this paper we share our project's operational understanding of the concept of rural sustainability in the context of CT pathways. We posit that an effective CT pathway for rural communities must be firmly rooted in their cultural wealth, funds of knowledge, and socioeconomic priorities. Moreover, it should empower students to draw upon their own innovation heritage, leveraging CT as a tool to identify and address community challenges. Emphasizing the necessity of incorporating rural contexts into discussions on equitable access to computing education, our conceptualization provides insights into how policy and research can contribute to this important goal."
Applying a Blended Board Game System with Robotic Arm for Training Computational Thinking: Learning through Human-Machine Competition,"Yong, Lin and Zhan, Zehui and Zou, Xuanxuan and Chen, Li and Lin, Zhihang and Zhan, Weiyu",2023,"The purpose of this study is to design and developed a blended board game system with robotic arm for training students' computational thinking, and examine its effect in an elementary school's information technology course. A board game virtual interface was developed based on Unity-3D, and the corresponding device with a robotic arm was set up based on ESP32-CAM development board. The learning system enables a dual interaction mechanism by learning through Human-Machine Competition virtually or physically. By participating in the game, students faced challenges such as board game step reasoning, model abstract, decision-making, and strategic planning, thereby enhancing their computational thinking and problem-solving skills. Results indicated that the blended board game improve students’ overall computational thinking skills, especially reasoning, decision-making and strategic planning. This research provides an innovative approach to develop virtual-physical integrated game-based learning system for promoting students' computational thinking through human-machine competition."
Assessing Elementary Teachers' Knowledge of Integrated Computational Thinking,"Joshi, Deepti and Joswick, Candace and Albert, Jennifer and Jocius, Robin and Blanton, Melanie and Petrulis, Robert and Dawson, Trent",2025,"During the UnboxingCT project summer professional development, the Integrated CT Assessment was piloted with 72 elementary teachers. The assessment is based on computational thinking integration literature and asks teachers to identify different computational thinking concepts in content area scenarios. The assessment allowed us to identify which computational thinking concepts teachers were most familiar with prior to the professional development and assess changes in their understanding following the professional development. Our next step will be validation of the assessment with a larger group of teachers."
Assessing Pre-Service Elementary Science Education Teachers’ Professional Knowledge in the Field of Computational Thinking,"Arndt, Nicolas and Br\""{u}ckmann, Maja",2023,"Computational thinking is a key competence for children to learn in today’s digitized world. In order to effectively teach computational thinking, elementary science teachers need to have appropriate professional knowledge, consisting of content as well as pedagogical content knowledge and pedagogical knowledge [15]. This research project will adapt the Computational Thinking Test (CTt) to assess German pre-service teachers’ content knowledge in the area of computational thinking, and develop corresponding items based on case vignettes to assess pedagogical content knowledge."
