Title,Autor,Year
Computational thinking,"Wing, Jeannette M.",2006
Session details: Computational thinking,"Henderson, Peter",2007
Session details: Computational thinking,"Henderson, Peter",2007
Computational thinking,"Henderson, Peter B. and Cortina, Thomas J. and Wing, Jeannette M.",2007
Work in progress — analyzing the gap between diagrams and code in computer science,"Davies, Stephen",2008
An Innovative Approach to Teaching an Undergraduate Software Engineering Course,"Lester, Cynthia Y.",2008
Escape machine: teaching computational thinking with a tangible state machine game,"Weller, Michael Philetus and Do, Ellen Yi-Luen and Gross, Mark D",2008
EducationPaving the way for computational thinking,"Guzdial, Mark",2008
An embodied interface for teaching computational thinking,"Good, Judith and Romero, Pablo and du Boulay, Benedict and Reid, Henry and Howland, Katherine and Robertson, Judy",2008
How Can We Teach Computational Literacy to All Levels of Students?,"Kim, SooHwan and Han, SeonKwan and Kim, HyeonCheol",2009
Aligning Computing Education with engineering workforce computational needs: New curricular directions to improve computational thinking in engineering graduates,"Vergara, Claudia E. and Urban-Lurain, Mark and Dresen, Cindee and Coxen, Tammy and MacFarlane, Taryn and Frazier, Kysha and Briedis, Daina and Buch, Neeraj and Esfahanian, Abdol-Hossein and Paquette, Louise and Sticklen, Jon and LaPrad, Jeannine and Wolff, Thomas F.",2009
Language-based support for computational thinking,"Howland, Katy and Good, Judith and Nicholson, Keiron",2009
"On Computational Tools, Computational Thinking and Computational Methods","Zhang, Xiaofeng and Zou, Hailin",2009
Ubiquitous Computational Thinking,"Henderson, Peter B.",2009
Programming Courses Teaching Method for Ability Enhancement of Computational Thinking,"Huang, Wenming and Deng, Zhenrong and Rongsheng, Dong",2009
Discussion of Ability Cultivation of Computational Thinking in Course Teaching,"Deng, Zhenrong and Huang, Wenming and Dong, Rongsheng",2009
Exploration of ability development of engineering and computational thinking skills in software engineering majors,"Deng, Zhenrong and Huang, Wenming and Dong, Rongsheng and Wen, Peizhi",2009
Session details: Panel: computational thinking: on weaving it in,"Peckham, Joan",2009
Session details: Panel: computational thinking: on weaving it in,"Peckham, Joan",2009
Session details: Computational thinking across disciplines,"Rabung, John",2009
Session details: Computational thinking across disciplines,"Rabung, John",2009
Computational thinking through programming and algorithmic art,"Orr, Genevieve",2009
A new way of thinking about computational thinking,"Astrachan, Owen",2009
The profession of ITBeyond computational thinking,"Denning, Peter J.",2009
A multidisciplinary approach towards computational thinking for science majors,"Hambrusch, Susanne and Hoffmann, Christoph and Korb, John T. and Haugan, Mark and Hosking, Antony L.",2009
The present and future of computational thinking,"Astrachan, Owen and Hambrusch, Susanne and Peckham, Joan and Settle, Amber",2009
"Computational thinking: what is it, how is it relevant, who's doing what with it?","Bryant, Robert and Chinn, Donald and Hauser, George and Folsom, Michele and Wallace, Scott",2009
Teaching computational thinking through bioinformatics to biology students,"Qin, Hong",2009
Computational thinking (CT): on weaving it in,"Curzon, Paul and Peckham, Joan and Taylor, Harriet and Settle, Amber and Roberts, Eric",2009
Thinking about computational thinking,"Lu, James J. and Fletcher, George H.L.",2009
Computational thinking,"Wing, Jeannette",2009
Computational thinking: special sauce or snake oil?,"Xu, Yan and Peters, Joseph and Kirkpatrick, Arthur and O'Neil, Kevin",2009
Second International Workshop on Software Research and Climate Change,"Easterbrook, Steve and Mens, Kim and Zschaler, Steffen",2010
Work in progress — The video scenario approach for developing computational and entrepreneurial thinking skills,"Spezialetti, Madalene",2010
Research and practice on teaching mode of “Introduction to Computer Science” in Business-Education Partnership,"Xue-yan, Zhou and Xiang-min, Ren",2010
BingBee @ RaglanRoad - A field trial with unattended educational kiosks,"Wentworth, Peter",2010
Towards the Automatic Recognition of Computational Thinking for Adaptive Visual Language Learning,"Koh, Kyu Han and Basawapatna, Ashok and Bennett, Vicki and Repenning, Alexander",2010
Can computational thinking reduce marginalization in the future Internet?,"Wentworth, Peter",2010
Connecting undergraduate programs to high school students: teacher workshops on computational thinking and computer science,"Morreale, Patricia and Joiner, David and Chang, George",2010
Flipping coins: an activity for introducing computational thinking to non-computer science majors: demonstration,"Toth, David",2010
MPCT: media propelled computational thinking,"Freudenthal, Eric Andrew and Roy, Mary K. and Ogrey, Alexandria Nicole and Magoc, Tanja and Siegel, Alan",2010
Teaching computational thinking through musical live coding in scratch,"Ruthmann, Alex and Heines, Jesse M. and Greher, Gena R. and Laidler, Paul and Saulters, Charles",2010
Scalable game design and the development of a checklist for getting computational thinking into public schools,"Repenning, Alexander and Webb, David and Ioannidou, Andri",2010
Why computational thinking should be integrated into the curriculum,"Qualls, Jake A. and Sherrell, Linda B.",2010
Developing a community definition and teaching modules for computational thinking: accomplishments and challenges,"Ater-Kranov, Ashley and Bryant, Robert and Orr, Genevieve and Wallace, Scott and Zhang, Mo",2010
Computational thinking and interdisciplinary encounters: keynote address,"Dourish, Paul",2010
Computational thinking via interactive journalism in middle school,"Wolz, Ursula and Stone, Meredith and Pulimood, Sarah M. and Pearson, Kim",2010
Session details: Computational thinking,"Craig, Annemieke",2010
Computational thinking for the sciences: a three day workshop for high school science teachers,"Ahamed, Sheikh Iqbal and Brylow, Dennis and Ge, Rong and Madiraju, Praveen and Merrill, Stephen J. and Struble, Craig A. and Early, James P.",2010
A framework for computational thinking across the curriculum,"Perkovi\'{c}, Ljubomir and Settle, Amber and Hwang, Sungsoon and Jones, Joshua",2010
Computational thinking in high school courses,"Allan, Vicki and Barr, Valerie and Brylow, Dennis and Hambrusch, Susanne",2010
"File references, trees, and computational thinking","Miller, Craig S. and Perkovi\'{c}, Ljubomir and Settle, Amber",2010
Collaborative teaching of globally distributed software development: community building workshop (CTGDSD 2011),"Faulk, Stuart and Young, Michal and Weiss, David and Yu, Lian",2011
Work in progress — Integrating computational and engineering thinking through online design and simulation of multidisciplinary systems,"Magana, Alejandra J. and Marepalli, Prabhakar and Clark, Jason V.",2011
Work in progress — Vertically integrated teams to inspire student interest in computing,"Hislop, Gregory W. and Towhidnejad, Massood and Marcy, William M.",2011
Conversational programming in action,"Repenning, Alexander",2011
Making programming more conversational,"Repenning, Alexander",2011
A novel interdisciplinary course in gerontechnology for disseminating computational thinking,"Yang, Hen-I and Martin, Peter and Satterfield, Debra and Babbitt, Ryan and Wong, Johnny and Shelley, Mack and Chang, Carl K.",2011
Integrate social simulation content with game designing curriculum to foster computational thinking,"Chang, Chih-Kai",2011
Injecting computational thinking into career explorations for middle school girls,"Webb, Heidi C.",2011
A study of the Classified teaching of “Fundamentals of Information Technology” course based on computational thinking,"Chun-Hong, Wang and Qiao-Ling, Wang",2011
The research on online independent learning model based on computational thinking,"Zhou, Xiongjun",2011
Teaching computational thinking to non-computing majors using spreadsheet functions,"Yeh, Kuo-Chuan and Xie, Ying and Ke, Fengfeng",2011
Teaching and research on assembly language for computational thinking,"Yin, Li-jie and Zuo, Rui-xin and Zhao, Yang",2011
Research of VB programming teaching mode based on the core of computational thinking ability training,"Zhang, Chunying and Chen, Xiao and Li, JianJing",2011
Computational thinking and computer fundamental education,Lina Wang,2011
Algorithmic composition: computational thinking in music,"Edwards, Michael",2011
Changing perceptions of computer science and computational thinking among high school teachers,"Morreale, Patricia and Joiner, David",2011
A model for piloting pathways for computational thinking in a general education curriculum,"Dierbach, Charles and Hochheiser, Harry and Collins, Samuel and Jerome, Gerald and Ariza, Christopher and Kelleher, Tina and Kleinsasser, William and Dehlinger, Josh and Kaza, Siddharth",2011
Initial experience with a computational thinking course for computer science students,"Kafura, Dennis and Tatar, Deborah",2011
CS1 students' understanding of computational thinking concepts,"Qualls, Jake A. and Grant, Michael M. and Sherrell, Linda B.",2011
Bringing computational thinking to K-12: what is Involved and what is the role of the computer science education community?,"Barr, Valerie and Stephenson, Chris",2011
Ubiquity symposium: Computation and Computational Thinking,"Aho, Alfred V.",2011
Session details: Computational thinking,"Pala, Jill",2011
Computational Thinking and Expository Writing in the Middle School,"Wolz, Ursula and Stone, Meredith and Pearson, Kim and Pulimood, Sarah Monisha and Switzer, Mary",2011
Social computational thinking tools: reinventing computation education in public schools,"Repenning, Alexander",2011
The computational thinking across the curriculum workshop,"Settle, Amber",2011
Computational thinking for youth in practice,"Lee, Irene and Martin, Fred and Denner, Jill and Coulter, Bob and Allan, Walter and Erickson, Jeri and Malyn-Smith, Joyce and Werner, Linda",2011
Computational thinking in a game design course,"Settle, Amber",2011
Introducing computational thinking in education courses,"Yadav, Aman and Zhou, Ninger and Mayfield, Chris and Hambrusch, Susanne and Korb, John T.",2011
Computational thinking: modeling applied to the teaching and learning of English,"Howell, Linda and Jamba, Lisa and Kimball, A. Samuel and Sanchez-Ruiz, Arturo",2011
Computational thinking: what it might mean and what we might do about it,"Hu, Chenglie",2011
Recognizing computational thinking patterns,"Basawapatna, Ashok and Koh, Kyu Han and Repenning, Alexander and Webb, David C. and Marshall, Krista Sekeres",2011
Using Microworlds to Introduce Programming to Novices,"Papadopoulos, Yannis and Tegos, Stergios",2012
Implementing a new Computer Science Curriculum for middle school in Israel,"Bargury, Iris Zur and Haberman, Bruria and Cohen, Avi and Muller, Orna and Zohar, Doron and Levy, Dalit and Hotoveli, Reuven",2012
Workshop: It's more than coding- using video scenarios to engage students in computing,"Spezialetti, Madalene",2012
Work in progress: Integrating computation across engineering curricula: Preliminary impact on students,"Vergara, Claudia E. and Briedis, Daina and Buch, Neeraj and Esfahanian, Abdol-Hossein and Sticklen, Jon and Urban-Lurain, Mark and Paquette, Louise and Dresen, Cindee and Frazier, Kysha",2012
"Combining cognitive, semiotic and discourse analysis to explore the power of notations in visual programming","Ferreira, Juliana J. and de Souza, Clarisse S. and de Castro Salgado, Luciana C. and Slaviero, Cleyton and Leitão, Carla F. and Moreira, Fábio de F.",2012
Taking Database Design as Trunk Line of Database Courses,"Juxiang, Ren and Zhihong, Nan",2012
Work in progress: ACTIVATE: Advancing computing and technology interest and innovation through teacher education,"Cortina, Thomas J. and Dann, Wanda P. and Frieze, Carol and Ciminillo, Cara and Tananis, Cynthia and Trahan, Keith",2012
Training for computational thinking capability on programming language teaching,"Yinnan, Zhang and Chaosheng, Luo",2012
Teaching Computational Thinking in initial series An analysis of the confluence among mathematics and Computer Sciences in elementary education and its implications for higher education,"Barcelos, Thiago Schumacher and Silveira, Ismar Frango",2012
Computation and Computational Thinking,"Aho, Alfred V.",2012
Work in progress: Teaching computational thinking in middle and high school,"Yevseyeva, Kristina and Towhidnejad, Massood",2012
Helping Novice Programmers to Bootstrap in the Cloud: Incorporating Support for Computational Thinking into the Game Design Process,"Ahmadi, Navid and Jazayeri, Mehdi and Landoni, Monica",2012
Math on a sphere: using public displays to support children's creativity and computational thinking on 3D surfaces,"Hsi, Sherry and Eisenberg, Michael",2012
Algo.Rhythm: computational thinking through tangible music device,"Peng, Huaishu",2012
The fairy performance assessment: measuring computational thinking in middle school,"Werner, Linda and Denner, Jill and Campe, Shannon and Kawamoto, Damon Chizuru",2012
CTArcade: learning computational thinking while training virtual characters through game play,"Lee, Tak Yeon and Mauriello, Matthew Louis and Ingraham, John and Sopan, Awalin and Ahn, June and Bederson, Benjamin B.",2012
