Title,Autor,Year
"Geo-Computational Thinking in the Third Grade: Making Computational Thinking Truly ""For Everyone, Everywhere""","Hammond, Thomas C. and Oltman, Julia and Manfra, Meghan M.",2019
Resources for Computational Thinking: Co-designing with Teachers,"Mills, Kelly and Angevine, Colin and Weisgrau, Josh",2020
Computational Thinking Interventions in Higher Education: A Scoping Literature Review of Interventions Used to Teach Computational Thinking,"de Jong, Imke and Jeuring, Johan",2020
Promoting Computational Thinking in Elementary School: A Narrative-Centered Learning Approach,"Boulden, Danielle and Smith, Andy and Cully, Kimkinyona and Houchins, Jennifer and Elsayed, Rasha and Hubbard Cheuoua, Aleata and Minogue, James and Oliver, Kevin and Ringstaff, Cathy and Mott, Bradford",2021
Beyond Programming: A Computer-Based Assessment of Computational Thinking Competency,"Lai, Rina P. Y.",2021
Exploring Teachers’ PCK for Computational Thinking in Context,"Yeni, Sabiha and Grgurina, Natasa and Hermans, Felienne and Tolboom, Jos and Barendsen, Erik",2021
Computational thinking for professionals,"Denning, Peter J. and Tedre, Matti",2021
Interweaving Digital Literacy with Computational Thinking,"George-Reyes, Carlos Enrique and Rocha Estrada, Francisco Javier and Glasserman-Morales, Leonardo David",2021
Integration of computational thinking into English language arts,"Jacob, Sharin Rawhiya and Parker, Miranda C. and Warschauer, Mark",2022
Examples of Culturally Responsive Teaching in Computational Thinking Curriculum,"Saito-Stehberger, Dana",2022
Enhancing the Role of Computational Thinking in Primary and Secondary Education in Switzerland,"Arnold, Ruedi and Amstalden, Barbara and Bader, J\""{o}rg",2022
Computational Thinking Integration Design Principles in Humanities,"Caskurlu, Secil and Hu, Anne Drew and Yadav, Aman and Santo, Rafi",2022
KnitxCode: Exploring a Craftsmanship-driven Approach to Computational Thinking,"S\o{}rensen, Marie-Louise Stisen Kjerstein and Fog, Bjarke Vognstrup and Musaeus, Line Have and Petersen, Marianne Graves",2022
Learning Computational Thinking Efficiently: How Parsons Programming Puzzles within Scratch Might Help,"Bender, Jeff and Zhao, Bingpu and Dziena, Alex and Kaiser, Gail",2022
The Development of Computational Thinking in Computing Higher Education,"Moreira Oliveira, Carolina",2022
How is Computational Thinking Defined in Elementary Science?,"Pietros, Jennifer and Sweetman, Sara and Shim, Minsuk",2022
Examining the Use of Computational Thinking Skills When Solving Bebras Tasks,"De Jong, Imke and Sichterman, Bo and Jeuring, Johan",2022
Developing a Self-efficacy Scale for Computational Thinking (CT-SES),"De Jong, Imke and Jeuring, Johan",2022
Observing Computational Thinking Skills of Kindergarten Children,"Meyer-Baron, Larissa and Stieger, Ramona and Waldvogel, Bettina and Schumann, Nicole and Ruedisueli, Cornelia and Mayr, Franziska",2022
Computational Thinking through Tangible Play: Understanding Social Dialogues in Children's Learning,"Liu, Yu-Yu and Iversen, Ole Sejer",2022
Teacher Education and Computational Thinking: Measuring Pre-service Teacher Conceptions and Attitudes,"Yadav, Aman and Caeli, Elisa Nadire and Ocak, Ceren and Macann, Victoria",2022
Computational Thinking 2.0,"Tedre, Matti",2022
Construction and Validation of an Online Teaching Model for the Development of Computational Thinking: Take high school information technology course as an example,"Yang, Hairu and Li, Qiuhong and Dong, Jiamin and Bai, Xinye and Cai, Minghan and Xu, Xiang",2023
The Effectiveness of Teaching Approaches in Computational Thinking Education: A Meta-Analysis,"Chen, Yunshan and Wang, Yining and Li, Yanyan",2023
Exploring Computational Thinking Practices and Gestures in the Context of Matrix Math,"Zaman, Ulia",2023
Applying a Blended Board Game System with Robotic Arm for Training Computational Thinking: Learning through Human-Machine Competition,"Yong, Lin and Zhan, Zehui and Zou, Xuanxuan and Chen, Li and Lin, Zhihang and Zhan, Weiyu",2023
Design and Implementation of Co-design Pedagogical Scenarios for Learning Computational Thinking,"Sunday, Amos Oyelere",2023
The Influence of Problem Solving Based Practice on Pupils' Computational Thinking,"Liu, Xiaoying and Cong, Longjie and Xu, Jihong",2023
Development of an Open-Source Emotion-Based Adaptive Learning Support System using Computational Thinking Activities,"Herrero-\'{A}lvarez, Rafael",2023
Multiple Programming Languages for Improving Computational Thinking in CS1,"Lee, Dongeun and Hu, Kaoning and El Ariss, Omar and Kwon, Kibum",2023
Does Musical Context Improve Computational Thinking Skills?,"Padhye, Harsh and Gibson, Rachel and Bull, Glen and Nguyen, N. Rich",2023
A Computational Thinking Obstacle Course Based on Bebras Tasks for K-12 Schools,"Lehtim\""{a}ki, Taina and Monahan, Rosemary and Mooney, Aidan and Casey, Kevin and Naughton, Thomas J.",2023
From Embodied Doing to Computational Thinking in Kindergarten: A Punctuated Motor Control Model,"Sinha, Ravi and Swanson, Hillary and Clarke-Midura, Jody and Shumway, Jessica F. and Lee, Victor R. and Chandrasekharan, Sanjay",2023
Computational Thinking and Attitudes Towards Computing: An Emerging Relationship in Elementary Students,"Ojeda-Ramirez, Santiago and Parker, Miranda C. and Garcia, Leiny and Tate, Tamara and Villa, Jillian Rae and Warschauer, Mark",2023
Assessing Pre-Service Elementary Science Education Teachers’ Professional Knowledge in the Field of Computational Thinking,"Arndt, Nicolas and Br\""{u}ckmann, Maja",2023
"Cartoonimator: A Low-cost, Paper-based Animation Kit for Computational Thinking","Ranjan, Krithik and Gyory, Peter and Rivera, Michael L and Do, Ellen Yi-Luen",2023
Gender Characteristics and Computational Thinking in Scratch,"Niousha, Rose and Saito, Daisuke and Washizaki, Hironori and Fukazawa, Yoshiaki",2023
The Landscape of Computational Thinking Problems for Practice and Assessment,"Pel\'{a}nek, Radek and Effenberger, Tom\'{a}\v{s}",2023
Modeling of the System for Computational Thinking Automatic Assessment,"Masiulionyte-Dagiene, Vaida",2023
A Computational Thinking Test for Senior High School Students,"Hu, Chiu-Fan and Wu, Cheng-Chih",2023
Exploring Computational Thinking with Physical Play through Design,"Yu, Junnan and Hayden, Ronni and Roque, Ricarose",2023
Teacher Education to Integrate Computational Thinking into Elementary Science: A Design-Based Research Study,"Killen, Heather and Coenraad, Merijke and Byrne, Virginia and Cabrera, Lautaro and Mills, Kelly and Ketelhut, Diane Jass and Plane, Jandelyn D.",2023
Improving Computational Thinking with Spatial Skills Development in Primary School,"Parkinson, Jack",2023
Introducing Computational Thinking at Vocational High Schools,"Simmonds, Jocelyn and Diaz, Constanza and Estay, Carlos",2023
Demo: Teaching computational thinking with Protobject,"Bellino, Alessio",2023
Computational Thinking and Notional Machines: The Missing Link,"Munasinghe, Bhagya and Bell, Tim and Robins, Anthony",2023
Gamified Virtual Reality for Computational Thinking,"Gerini, Lorenzo and Delzanno, Giorgio and Guerrini, Giovanna and Solari, Fabio and Chessa, Manuela",2023
Computational Thinking Resources Inspired by Bebras,"Lehtim\""{a}ki, Taina and Monahan, Rosemary and Mooney, Aidan and Casey, Kevin and Naughton, Thomas J.",2023
Best Practices for Developing Computational Thinking,"Garcia, Dan and Garcha, Sonia and Mukund, Madhavan and Shah, Vipul",2023
Using Computational Thinking to Learn Creative Writing and Performance Arts: Summer Experiences of Story Creation Projects,"Torres Castillo, Ruth and Valdez, Tomas and Pontelli, Enrico and Gonzalez, Horacio and Nevarez, Erick and Cota, Raena",2024
An Intelligent Pedagogical Agent for In-The-Wild Interaction in an Open-Ended Learning Environment for Computational Thinking,"Murali, Rohit and Lall\'{e}, S\'{e}bastien and Conati, Cristina",2024
Integrating Making and Computational Thinking in Early Childhood Education: Preliminary Outcomes from a Teacher Trainer Workshop on Designing an Intervention,"Bahr, Tobias",2024
An empirical study on the design-based STEM + VR teaching approach to cultivate college students' computational thinking,"Li, Xing and Zhao, MingYue and Ai, Di and Zhou, XiaoChun and Xiang, Hui",2024
Construction and Practice of Computational Thinking Structural Framework with Sternberg's Intellectual Education Theory,"Zhang, Wei and Song, Lingling and Huang, Xujun and Wang, Yi",2024
Inclusive Computational Thinking in Public Schools: A Case Study from Lisbon,"Pires, Ana Cristina and Rocha, Filipa and Guerreiro, Tiago and Nicolau, Hugo",2024
Developing Computational Thinking in Middle School Music Technology Classrooms,"McCall, Lauren and Allen, Brittney and Freeman, Jason and Garrett, Stephen and Grossman, Sabrina and Paz, Jed and Edwards, Doug and McKlin, Tom and Lee, Taneisha",2024
Analyzing-Evaluating-Creating: Assessing Computational Thinking and Problem Solving in Visual Programming Domains,"Ghosh, Ahana and Malva, Liina and Singla, Adish",2024
The Influence of CodeCombat on Computational Thinking in Python Programming Learning at Primary School,"Choi, Wan Chong and Choi, Iek Chong",2024
The Students' Perspective on Computational Thinking through Flipped Classroom in K-12 Programming Course,"Choi, Wan Chong and Chang, Chi In",2024
