Title,Autor,Year
Computational thinking,"Wing, Jeannette M.",2006
Session details: Computational thinking,"Henderson, Peter",2007
Session details: Computational thinking,"Henderson, Peter",2007
Computational thinking,"Henderson, Peter B. and Cortina, Thomas J. and Wing, Jeannette M.",2007
Escape machine: teaching computational thinking with a tangible state machine game,"Weller, Michael Philetus and Do, Ellen Yi-Luen and Gross, Mark D",2008
EducationPaving the way for computational thinking,"Guzdial, Mark",2008
An embodied interface for teaching computational thinking,"Good, Judith and Romero, Pablo and du Boulay, Benedict and Reid, Henry and Howland, Katherine and Robertson, Judy",2008
Session details: Panel: computational thinking: on weaving it in,"Peckham, Joan",2009
Session details: Panel: computational thinking: on weaving it in,"Peckham, Joan",2009
Session details: Computational thinking across disciplines,"Rabung, John",2009
Session details: Computational thinking across disciplines,"Rabung, John",2009
Computational thinking through programming and algorithmic art,"Orr, Genevieve",2009
A new way of thinking about computational thinking,"Astrachan, Owen",2009
The profession of ITBeyond computational thinking,"Denning, Peter J.",2009
A multidisciplinary approach towards computational thinking for science majors,"Hambrusch, Susanne and Hoffmann, Christoph and Korb, John T. and Haugan, Mark and Hosking, Antony L.",2009
The present and future of computational thinking,"Astrachan, Owen and Hambrusch, Susanne and Peckham, Joan and Settle, Amber",2009
"Computational thinking: what is it, how is it relevant, who's doing what with it?","Bryant, Robert and Chinn, Donald and Hauser, George and Folsom, Michele and Wallace, Scott",2009
Teaching computational thinking through bioinformatics to biology students,"Qin, Hong",2009
Computational thinking (CT): on weaving it in,"Curzon, Paul and Peckham, Joan and Taylor, Harriet and Settle, Amber and Roberts, Eric",2009
Thinking about computational thinking,"Lu, James J. and Fletcher, George H.L.",2009
Computational thinking,"Wing, Jeannette",2009
Computational thinking: special sauce or snake oil?,"Xu, Yan and Peters, Joseph and Kirkpatrick, Arthur and O'Neil, Kevin",2009
MPCT: media propelled computational thinking,"Freudenthal, Eric Andrew and Roy, Mary K. and Ogrey, Alexandria Nicole and Magoc, Tanja and Siegel, Alan",2010
Teaching computational thinking through musical live coding in scratch,"Ruthmann, Alex and Heines, Jesse M. and Greher, Gena R. and Laidler, Paul and Saulters, Charles",2010
Scalable game design and the development of a checklist for getting computational thinking into public schools,"Repenning, Alexander and Webb, David and Ioannidou, Andri",2010
Why computational thinking should be integrated into the curriculum,"Qualls, Jake A. and Sherrell, Linda B.",2010
Developing a community definition and teaching modules for computational thinking: accomplishments and challenges,"Ater-Kranov, Ashley and Bryant, Robert and Orr, Genevieve and Wallace, Scott and Zhang, Mo",2010
Computational thinking and interdisciplinary encounters: keynote address,"Dourish, Paul",2010
Computational thinking via interactive journalism in middle school,"Wolz, Ursula and Stone, Meredith and Pulimood, Sarah M. and Pearson, Kim",2010
Session details: Computational thinking,"Craig, Annemieke",2010
Computational thinking for the sciences: a three day workshop for high school science teachers,"Ahamed, Sheikh Iqbal and Brylow, Dennis and Ge, Rong and Madiraju, Praveen and Merrill, Stephen J. and Struble, Craig A. and Early, James P.",2010
A framework for computational thinking across the curriculum,"Perkovi\'{c}, Ljubomir and Settle, Amber and Hwang, Sungsoon and Jones, Joshua",2010
Computational thinking in high school courses,"Allan, Vicki and Barr, Valerie and Brylow, Dennis and Hambrusch, Susanne",2010
"File references, trees, and computational thinking","Miller, Craig S. and Perkovi\'{c}, Ljubomir and Settle, Amber",2010
Algorithmic composition: computational thinking in music,"Edwards, Michael",2011
Changing perceptions of computer science and computational thinking among high school teachers,"Morreale, Patricia and Joiner, David",2011
A model for piloting pathways for computational thinking in a general education curriculum,"Dierbach, Charles and Hochheiser, Harry and Collins, Samuel and Jerome, Gerald and Ariza, Christopher and Kelleher, Tina and Kleinsasser, William and Dehlinger, Josh and Kaza, Siddharth",2011
Initial experience with a computational thinking course for computer science students,"Kafura, Dennis and Tatar, Deborah",2011
CS1 students' understanding of computational thinking concepts,"Qualls, Jake A. and Grant, Michael M. and Sherrell, Linda B.",2011
Bringing computational thinking to K-12: what is Involved and what is the role of the computer science education community?,"Barr, Valerie and Stephenson, Chris",2011
Ubiquity symposium: Computation and Computational Thinking,"Aho, Alfred V.",2011
Session details: Computational thinking,"Pala, Jill",2011
Computational Thinking and Expository Writing in the Middle School,"Wolz, Ursula and Stone, Meredith and Pearson, Kim and Pulimood, Sarah Monisha and Switzer, Mary",2011
Social computational thinking tools: reinventing computation education in public schools,"Repenning, Alexander",2011
The computational thinking across the curriculum workshop,"Settle, Amber",2011
Computational thinking for youth in practice,"Lee, Irene and Martin, Fred and Denner, Jill and Coulter, Bob and Allan, Walter and Erickson, Jeri and Malyn-Smith, Joyce and Werner, Linda",2011
Computational thinking in a game design course,"Settle, Amber",2011
Introducing computational thinking in education courses,"Yadav, Aman and Zhou, Ninger and Mayfield, Chris and Hambrusch, Susanne and Korb, John T.",2011
Computational thinking: modeling applied to the teaching and learning of English,"Howell, Linda and Jamba, Lisa and Kimball, A. Samuel and Sanchez-Ruiz, Arturo",2011
Computational thinking: what it might mean and what we might do about it,"Hu, Chenglie",2011
Recognizing computational thinking patterns,"Basawapatna, Ashok and Koh, Kyu Han and Repenning, Alexander and Webb, David C. and Marshall, Krista Sekeres",2011
Math on a sphere: using public displays to support children's creativity and computational thinking on 3D surfaces,"Hsi, Sherry and Eisenberg, Michael",2012
Algo.Rhythm: computational thinking through tangible music device,"Peng, Huaishu",2012
The fairy performance assessment: measuring computational thinking in middle school,"Werner, Linda and Denner, Jill and Campe, Shannon and Kawamoto, Damon Chizuru",2012
CTArcade: learning computational thinking while training virtual characters through game play,"Lee, Tak Yeon and Mauriello, Matthew Louis and Ingraham, John and Sopan, Awalin and Ahn, June and Bederson, Benjamin B.",2012
IT problem solving: an implementation of computational thinking in information technology,"L'Heureux, Jaime and Boisvert, Deborah and Cohen, Robert and Sanghera, Kamaljeet",2012
Abenteuer informatik: hands-on exhibits for learning about computational thinking,"Gallenbacher, Jens",2012
"A plan for immediate immersion of computational thinking into the high school math classroom through a partnership with the Alabama math, science, and technology initiative","Jenkins, Janet T. and Jerkins, James A. and Stenger, Cynthia L.",2012
Measuring the impact of computational thinking workshops on high school teachers,"Morreale, Patricia and Goski, Catherine and Jimenez, Luis and Stewart-Gardiner, Carolee",2012
Interdisciplinary experiments in and perspectives on computational thinking,Sin Valor,2012
Documentation comes to life in computational thinking acquisition with agentsheets,"Mota, Marcelle Pereira and Faria, Leonardo Serra and de Souza, Clarisse Sieckenius",2012
Infusing computational thinking into the middle- and high-school curriculum,"Settle, Amber and Franke, Baker and Hansen, Ruth and Spaltro, Frances and Jurisson, Cynthia and Rennert-May, Colin and Wildeman, Brian",2012
From computational thinking to computational values,"Abelson, Hal",2012
Computational thinking outreach: reaching across the K-12 curriculum,"Pokorny, Kian L. and White, Nathan",2012
Promoting computational thinking with programming,"Selby, Cynthia C.",2012
The social turn in K-12 programming: moving from computational thinking to computational participation,"Kafai, Yasmin B. and Burke, Quinn",2013
Students organizing against pollution: computational thinking across boundaries,"Qureshi, Shahzore and Estevez, Francisco and Pulimood, Sarah Monisha",2013
The zones of proximal flow: guiding students through a space of computational thinking skills and challenges,"Basawapatna, Ashok R. and Repenning, Alexander and Koh, Kyu Han and Nickerson, Hilarie",2013
Will it stick? exploring the sustainability of computational thinking education through game design,"Koh, Kyu Han and Repenning, Alexander and Nickerson, Hilarie and Endo, Yasko and Motter, Pate",2013
DISSECT: integrating computational thinking in the traditional K-12 curricula through collaborative teaching (abstract only),"Hug, Sarah and Sandry, Josh and Vordermann, Ryan and Pontelli, Enrico and Wright, Ben",2013
The simulation creation toolkit: an initial exploration into making programming accessible while preserving computational thinking,"Basawapatna, Ashok Ram and Repenning, Alexander and Lewis, Clayton H.",2013
Beyond computer science: computational thinking across disciplines,"Settle, Amber and Goldberg, Debra S. and Barr, Valerie",2013
CS4Impact: measuring computational thinking concepts present in CS4HS participant lesson plans,"Bort, Heather and Brylow, Dennis",2013
Robobuilder: a computational thinking game (abstract only),"Weintrop, David and Wilensky, Uri",2013
Engaging and motivating computing activities with computational thinking concepts you can use,"Webb, Heidi",2013
Computing creativity: divergence in computational thinking,"Bennett, Vicki E. and Koh, KyuHan and Repenning, Alexander",2013
Logistics of moving from computer fluency to computational thinking (abstract only),"Sobolewska, Monika",2013
Using scaffolded examples to teach computational thinking concepts,"Webb, Heidi and Rosson, Mary Beth",2013
Session details: Paper - computational thinking,"Lang, Catherine",2013
"Accelerating K-12 computational thinking using scaffolding, staging, and abstraction","Touretzky, David S. and Marghitu, Daniela and Ludi, Stephanie and Bernstein, Debra and Ni, Lijun",2013
Alternate realities for computational thinking,"Doore, Karen",2013
Modeling the learning progressions of computational thinking of primary grade students,"Seiter, Linda and Foreman, Brendan",2013
First year student performance in a test for computational thinking,"Gouws, Lindsey and Bradshaw, Karen and Wentworth, Peter",2013
Computational thinking and practice: a generic approach to computing in Danish high schools,"Caspersen, Michael E. and Nowack, Palle",2013
Computational thinking in educational activities: an evaluation of the educational game light-bot,"Gouws, Lindsey Ann and Bradshaw, Karen and Wentworth, Peter",2013
Computational thinking skills in Dutch secondary education,"Grgurina, Nata\v{s}a and Barendsen, Erik and Zwaneveld, Bert and van de Grift, Wim and Stoker, Idzard",2013
Computational thinking in CS teaching materials: a pilot study,"Barendsen, Erik and Stoker, Idzard",2013
An informatics perspective on computational thinking,"Walden, James and Doyle, Maureen and Garns, Rudy and Hart, Zachary",2013
cs4fn and computational thinking unplugged,"Curzon, Paul",2013
Studio K: a game development environment designed for gains in computational thinking (abstract only),"Anton, Gabriella and Berland, Matthew",2014
Dancing alice: exploring embodied pedagogical strategies for learning computational thinking,"Daily, Shaundra B. and Leonard, Alison E. and J\""{o}rg, Sophie and Babu, Sabarish and Gundersen, Kara",2014
Model-based thinking and practice: a top-down approach to computational thinking,"Nowack, Palle and Caspersen, Michael E.",2014
Kodu alice and computer science unplugged: a model of effective introducing middle school students to computer science and computational thinking (abstract only),"Marghitu, Daniela and Thomas, Lavaris and Rawajfih, Yasmeen and Hall, Jillian and Marshall, Andrew",2014
The consume - create spectrum: balancing convenience and computational thinking in stem learning,"Basawapatna, Ashok Ram and Repenning, Alexander and Koh, Kyu Han and Savignano, Mark",2014
CABECT: collaborating across boundaries to engage undergraduates in computational thinking (abstract only),"Pulimood, Sarah Monisha and Pearson, Kim and Bates, Diane C.",2014
RaBit EscAPE: a board game for computational thinking,"Apostolellis, Panagiotis and Stewart, Michael and Frisina, Chris and Kafura, Dennis",2014
Informatics concepts for primary education: preparing children for computational thinking,"Sabitzer, Barbara and Antonitsch, Peter K. and Pasterk, Stefan",2014
Session details: Focus on K-12: outreach and computational thinking,"Javidi, Giti",2014
A Qualitative Study of Students' Computational Thinking Skills in a Data-Driven Computing Class,"Yuen, Timothy T. and Robbins, Kay A.",2014
Refactoring courseware to engage undergraduates in computational thinking across boundaries,"Pulimood, S. Monisha and Pearson, Kim and Bates, Diane",2014
China's perspective from the viewpoint of computational thinking on CS1 for non-majors (abstract only),"Zhang, Ming and Li, Bo and Lo, Ginnie",2014
