Title,Autor,Year
Thinking may be more than computing,Peter Kugel,1986
CHAPTER 1 - A Contemporary Perspective on Social Development,Robert B. Cairns,1986
A Mark 1 Geographical Analysis Machine for the automated analysis of point data sets,"STAN OPENSHAW, MARTIN CHARLTON, COLIN WYMER and ALAN CRAFT",1987
Verification of rule-based expert systems,William T. Wood and Elaine N. Frankowski,1990
The owl and the electric encyclopedia,Brian Cantwell Smith,1991
"Practical sales forecasting: E.J. Davis, (McGraw-Hill Book Company, London, 1988), pp. x + 291, $13.95.",Mark W. Speece,1991
A computational alternative to the Piagetian infant,Julie C. Rutkowska,1992
The role of mental imagery and emotion in imagined interaction,"Kenneth S. Zagacki, Renee Edwards and James M. Honeycutt",1992
CHAPTER 1 - Thinking Computers and The Problem of Intentionality,Eric Dietrich,1994
CHAPTER 1 - History of Research on Thinking and Problem Solving,Roger L. Dominowski and Lyle E. Bourne,1994
Fuzzy-Trace Theory and Framing Effects in Children’s Risky Decision Making,Valerie F Reyna and Susan C Ellis,1994
News of IMACS,Sin Valor,1994
Scaling Up Sensorimotor Systems: Constraints from Human Infancy,Julie C. Rutkowska,1994
Chapter 8 - Interference and Inhibition in Memory Retrieval,Michael C. Anderson and James H. Neely,1996
Turing's analysis of computation and theories of cognitive architecture,A.J. Wells,1998
CHALLENGING THE COMPUTATIONAL METAPHOR: IMPLICATIONS FOR HOW WE THINK,Lynn Andrea Stein,1999
Introduction for 2002 Special Issue:Computational Models of Neuromodulation,Kenji Doya and Peter Dayan and Michael E Hasselmo,2002
Performance Systems,Johannes Birringer,2003
"Algorists, Algorithms, and Complexity: An Exploration of the Shavian Critique of Discrete State Computation",A. J. Wells,2005
Autopoiesis and Digital Design Theory: CAD Systems as Cognitive Instruments,Eduardo Lyon,2005
Quantum-like brain: “Interference of minds”,Andrei Khrennikov,2006
Utilizing Customizable Generative Design Tools in Digital Design Studio: Xp-GEN Experimental Form Generator,Burak Pak and Ozan Onder Ozener and Arzu Erdem,2006
Spontaneous Eye Blink Rates Vary According to Individual Differences in Generalized Control Perception,Carolyn H. Declerck and Bert De Brabander and Christophe Boone,2006
In Defense of Mechanism,A.J. Wells,2006
News Briefs,Sin Valor,2007
Sharing descriptions of movement,Scott deLahunta and Frédéric Bevilacqua,2007
"If You Build Teachers, Will Students Come? The Role of Teachers in Broadening Computer Science Learning for Urban Youth",Joanna Goode,2007
From Computer to Compost: Rethinking Our Metaphors for Memory,William L. Randall,2007
Abstracts,Sloan Evans Despeaux and Laura Martini and Kim Plofker,2007
"A swan, a pike, and a crawfish walk into a bar",Shimon Edelman,2008
Comment,Pat Hanrahan,2008
A space–time-ensemble parallel nudged elastic band algorithm for molecular kinetics simulation,Aiichiro Nakano,2008
Making Computer Games and Design Thinking: A Review of Current Software and Strategies,Elisabeth R. Hayes and Ivan Alex Games,2008
Design planning by end-user web developers,Mary Beth Rosson and Hansa Sinha and Mithu Bhattacharya and Dejin Zhao,2008
Constructivist Computer Science Education Reconstructed,Meurig Beynon,2009
AgentCubes: Incremental 3D end-user development,Andri Ioannidou and Alexander Repenning and David C. Webb,2009
Pair Programming in Middle School,Linda Werner and Jill Denning,2009
Comment,Deborah Nolan and Duncan Temple Lang,2009
Justifications-on-Demand as a Device to Promote Shifts of Attention Associated With Relational Thinking in Elementary Arithmetic,Marta Molina and John Mason,2009
Emotions as metarepresentational states of mind: Naturalizing the belief–desire theory of emotion,Rainer Reisenzein,2009
Preface,Peter M.A. Sloot and G. Dick {van Albada} and Jack Dongarra,2010
